sample	coverage	taxonomy
Novel_genomes_placement_ani-R1	0.2	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia; o__Sumerlaeales
Novel_genomes_placement_ani-R1	0.17	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales
Novel_genomes_placement_ani-R1	0.17	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
Novel_genomes_placement_ani-R1	0.23	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H
Novel_genomes_placement_ani-R1	1.58	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales
Novel_genomes_placement_ani-R1	0.11	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales
Novel_genomes_placement_ani-R1	0.37	Root; d__Bacteria; p__Firmicutes_B; c__Moorellia; o__DULZ01
Novel_genomes_placement_ani-R1	0.56	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia; o__Thermodesulfovibrionales
Novel_genomes_placement_ani-R1	0.11	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales
Novel_genomes_placement_ani-R1	1.82	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae
Novel_genomes_placement_ani-R1	0.51	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae
Novel_genomes_placement_ani-R1	0.57	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Palsa-688
Novel_genomes_placement_ani-R1	0.65	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__JAAYBP01
Novel_genomes_placement_ani-R1	0.28	Root; d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae
Novel_genomes_placement_ani-R1	0.3	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfolunaceae
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__SURF-7
Novel_genomes_placement_ani-R1	0.17	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfocapsaceae
Novel_genomes_placement_ani-R1	0.35	Root; d__Bacteria; p__Desulfobacterota; c__Dissulfuribacteria; o__Dissulfuribacterales; f__QOAL01
Novel_genomes_placement_ani-R1	0.77	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Phormidiaceae_A
Novel_genomes_placement_ani-R1	0.27	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Nostocaceae
Novel_genomes_placement_ani-R1	0.1	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__FACHB-T130
Novel_genomes_placement_ani-R1	2.27	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Elainellales; f__Elainellaceae
Novel_genomes_placement_ani-R1	0.11	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Gloeomargaritales; f__Gloeomargaritaceae
Novel_genomes_placement_ani-R1	0.89	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Thermosynechococcales; f__Thermosynechococcaceae
Novel_genomes_placement_ani-R1	0.38	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Leptolyngbyales; f__Leptolyngbyaceae
Novel_genomes_placement_ani-R1	0.48	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae
Novel_genomes_placement_ani-R1	0.3	Root; d__Bacteria; p__Caldisericota; c__Caldisericia; o__B22-G15; f__B22-G15
Novel_genomes_placement_ani-R1	8.14	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae
Novel_genomes_placement_ani-R1	1.99	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae
Novel_genomes_placement_ani-R1	0.12	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae
Novel_genomes_placement_ani-R1	0.72	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
Novel_genomes_placement_ani-R1	9.96	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
Novel_genomes_placement_ani-R1	0.12	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylopilaceae
Novel_genomes_placement_ani-R1	0.4	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae
Novel_genomes_placement_ani-R1	0.29	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
Novel_genomes_placement_ani-R1	0.29	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Maricaulaceae
Novel_genomes_placement_ani-R1	0.99	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Midichloriaceae
Novel_genomes_placement_ani-R1	0.4	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Anaplasmataceae
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Emcibacteraceae
Novel_genomes_placement_ani-R1	0.75	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
Novel_genomes_placement_ani-R1	0.63	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae
Novel_genomes_placement_ani-R1	0.15	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae
Novel_genomes_placement_ani-R1	1.79	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae
Novel_genomes_placement_ani-R1	0.64	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae
Novel_genomes_placement_ani-R1	1.01	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
Novel_genomes_placement_ani-R1	0.05	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sulfuriferulaceae
Novel_genomes_placement_ani-R1	0.22	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sulfuricellaceae
Novel_genomes_placement_ani-R1	2.93	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Alteromonadaceae
Novel_genomes_placement_ani-R1	4.59	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
Novel_genomes_placement_ani-R1	0.08	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Vibrionaceae
Novel_genomes_placement_ani-R1	0.35	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Oleiphilaceae
Novel_genomes_placement_ani-R1	0.34	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Endozoicomonadaceae
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrococcales; f__Aquisalimonadaceae
Novel_genomes_placement_ani-R1	0.83	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A; f__Enterobacteriaceae_A
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__HK1; f__JABDQX01
Novel_genomes_placement_ani-R1	0.64	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia; o__Sumerlaeales; f__Sumerlaeaceae
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae
Novel_genomes_placement_ani-R1	0.28	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia; o__UBA12015; f__UBA12015
Novel_genomes_placement_ani-R1	1.8	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae
Novel_genomes_placement_ani-R1	0.72	Root; d__Bacteria; p__Firmicutes_A; c__Thermosediminibacteria; o__Thermosediminibacterales; f__Thermosediminibacteraceae
Novel_genomes_placement_ani-R1	0.28	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
