sample	coverage	taxonomy
Novel_genomes_no_reference-R1	0.1	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales
Novel_genomes_no_reference-R1	0.32	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales
Novel_genomes_no_reference-R1	0.11	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__HIMB59
Novel_genomes_no_reference-R1	0.4	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales
Novel_genomes_no_reference-R1	3.61	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
Novel_genomes_no_reference-R1	2.84	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales
Novel_genomes_no_reference-R1	2.62	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
Novel_genomes_no_reference-R1	0.23	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales
Novel_genomes_no_reference-R1	0.48	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales
Novel_genomes_no_reference-R1	0.11	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales
Novel_genomes_no_reference-R1	0.4	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales
Novel_genomes_no_reference-R1	0.23	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales
Novel_genomes_no_reference-R1	0.11	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptomycetales
Novel_genomes_no_reference-R1	3.19	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales
Novel_genomes_no_reference-R1	0.12	Root; d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales
Novel_genomes_no_reference-R1	0.28	Root; d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Firmicutes_D; c__Dethiobacteria; o__DTU022
Novel_genomes_no_reference-R1	1.02	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales
Novel_genomes_no_reference-R1	0.1	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales
Novel_genomes_no_reference-R1	0.23	Root; d__Bacteria; p__Desulfobacterota; c__Desulfofervidia; o__Desulfofervidales
Novel_genomes_no_reference-R1	1.12	Root; d__Bacteria; p__Desulfobacterota; c__Dissulfuribacteria; o__Dissulfuribacterales
Novel_genomes_no_reference-R1	0.09	Root; d__Bacteria; p__Desulfobacterota; c__DSM-4660; o__Desulfatiglandales
Novel_genomes_no_reference-R1	0.23	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
Novel_genomes_no_reference-R1	0.52	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H
Novel_genomes_no_reference-R1	0.35	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_B
Novel_genomes_no_reference-R1	2.24	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
Novel_genomes_no_reference-R1	0.93	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
Novel_genomes_no_reference-R1	2.5	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
Novel_genomes_no_reference-R1	0.43	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales
Novel_genomes_no_reference-R1	2.82	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales
Novel_genomes_no_reference-R1	0.36	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia; o__Sumerlaeales
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales
Novel_genomes_no_reference-R1	0.12	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales
Novel_genomes_no_reference-R1	0.33	Root; d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Tissierellales
Novel_genomes_no_reference-R1	0.11	Root; d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Clostridiales
Novel_genomes_no_reference-R1	0.68	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__Paceibacterales
Novel_genomes_no_reference-R1	2.5	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Desulfobacterota_C; c__Anaeroferrophillalia; o__Anaeroferrophillales
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Firmicutes_B; c__Desulfitobacteriia; o__Desulfitobacteriales
Novel_genomes_no_reference-R1	0.11	Root; d__Bacteria; p__Firmicutes_B; c__Moorellia; o__DULZ01
Novel_genomes_no_reference-R1	0.26	Root; d__Bacteria; p__Calditrichota; c__Calditrichia; o__Calditrichales
Novel_genomes_no_reference-R1	1.1	Root; d__Bacteria; p__Planctomycetota; c__Brocadiae; o__Brocadiales
Novel_genomes_no_reference-R1	0.88	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Sedimentisphaerales
Novel_genomes_no_reference-R1	0.7	Root; d__Bacteria; p__Deferribacterota; c__Deferribacteres; o__Deferribacterales
Novel_genomes_no_reference-R1	0.59	Root; d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halobacteroidales
Novel_genomes_no_reference-R1	0.34	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia; o__Thermodesulfovibrionales
Novel_genomes_no_reference-R1	0.25	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales
