name	mean	rank
UBA8248	3536976.125	phylum
UBA8481	2640685.6666666665	phylum
UBA9089	2270469.75	phylum
UBP13	2215741	phylum
UBP14	2695407.1666666665	phylum
UBP15	4171428.5	phylum
UBP17	5655475.25	phylum
UBP4	3463403	phylum
UBP6	2513457.904761905	phylum
UBP7	1264697	phylum
Undinarchaeota	678837.8571428572	phylum
Verrucomicrobiota	3543299.1992337164	phylum
VGIX01	2485374.3333333335	phylum
Wallbacteria	4824502	phylum
WOR-3	2100233.6666666665	phylum
Zixibacteria	3203625.32	phylum
0-14-0-80-59-12	2311575.5	class
2-12-FULL-45-22	3667056	class
2-12-FULL-62-27	4164089.5	class
32-111	1832726.8	class
4484-107	2103559.75	class
4484-113	3705459	class
4484-211	989002.5	class
4484-213	869646	class
4572-55	4132790	class
9FT-COMBO-42-15	2171443.75	class
AABM5-125-24	3706552.4285714286	class
AB16	2107387.1666666665	class
Abditibacteria	6367186.909090909	class
ABY1	1100927.3421052631	class
AC1	2558940.15	class
Acidimicrobiia	2590175.9083629893	class
Acidobacteriae	5275453.796491228	class
Actinomycetia	4647352.031524833	class
Aenigmatarchaeia	897726.9761904762	class
Aerophobia	1750196.7142857143	class
Alphaproteobacteria	4148186.1566518447	class
Altiarchaeia	1510593.6	class
Aminicenantia	2826491.8656716417	class
Anaeroferrophillalia	2706393.8333333335	class
Anaerolineae	4200168.245810056	class
Andersenbacteria	1409590	class
Aquicultoria	1992618.5	class
Aquificae	1561714.8902439023	class
Archaeoglobi	1801032.9117647058	class
Armatimonadia	4468327.933333334	class
Atribacteria	2205160.8421052634	class
B130-G9	2729668.5	class
B15-G4	4989748.857142857	class
B1Sed10-29	933870.8	class
B26-G2	1907824.5	class
B3-B38	2293635	class
B3-LCP	3804242.6666666665	class
B62-G9	3666373	class
B64-G9	6393467.5	class
B88-G9	1295439	class
Babeliae	1163052.7142857143	class
Bacilli	2809519.95340221	class
Bacteriovoracia	3735784	class
Bacteroidia	3590792.817614506	class
Baldrarchaeia	2466024.3333333335	class
Bathyarchaeia	1723868.4147727273	class
Bdellovibrionia	3376042.258426966	class
Bdellovibrionia_A	3334802.1555555556	class
Binatia	4537860.471428571	class
Bipolaricaulia	1842447.5961538462	class
Blastocatellia	4567557.727941177	class
BMS3Abin14	2150245.75	class
BMS3BBIN04	3244057.5	class
Bog-38	1692187.0909090908	class
Brachyspirae	2933528.9243697478	class
Bradymonadia	5775633	class
Brevinematia	2512397.1666666665	class
Brocadiae	3585112.105882353	class
BSN033	3312936.2608695654	class
Bu12	2173759	class
CAIJMQ01	1427878.857142857	class
CAIWXX01	5675416.4	class
CAIYQO01	3659887.75	class
Caldisericia	1726076.125	class
Calditrichia	4139254.32	class
Calescibacteriia	2034154	class
Campylobacteria	1743718.8091218718	class
CG03	1773934.888888889	class
CG2-30-40-21	2562354.75	class
CG2-30-53-67	2591031.285714286	class
CG2-30-54-11	1990498	class
CG2-30-70-394	2671572.8	class
Ch29	2640714.3333333335	class
Chitinivibrionia	4135180.206896552	class
Chlamydiia	1356851.4240282685	class
Chlorobia	2442410.2450765865	class
Chloroflexia	4540494.018072289	class
Chrysiogenetes	2750181.3333333335	class
Chthonomonadetes	5412009.484848484	class
CLD3	3745715.5	class
Cloacimonadia	2186882.345679012	class
Clostridia	2979886.2627497916	class
Coprothermobacteria	1298645.6	class
Coriobacteriia	2225033.1149361464	class
CSP1-3	2633732.4	class
CSSED10-310	3521477.5	class
Cyanobacteriia	4476216.851890757	class
D2-FULL-39-29	2134279.1153846155	class
Deferribacteres	2600905.217391304	class
Deferrisomatia	3400954	class
Dehalobacteriia	2245249.705882353	class
Dehalococcoidia	2165722.1663619746	class
Deinococci	3206824.6	class
Desulfarculia	4166805.695652174	class
Desulfitobacteriia	4011841.373493976	class
Desulfobaccia	3155216.470588235	class
Desulfobacteria	4316582.841509434	class
Desulfobulbia	3529837.592417062	class
Desulfofervidia	2369822	class
Desulfomonilia	4023956.9655172415	class
Desulfotomaculia	2868073.709090909	class
Desulfovibrionia	3266262.4210526315	class
Desulfurellia	1724711.1666666667	class
Desulfurobacteriia	1649618	class
Desulfuromonadia	3723316.328244275	class
Dethiobacteria	2176971.466666667	class
DG-23	2526234	class
DG-26	2814173.6666666665	class
DG-26_A	3074913	class
Dictyoglomia	1888170.5	class
Dissulfuribacteria	2442207.380952381	class
Dojkabacteria	1321829.5	class
Dormibacteria	2994200.1297709923	class
DRWO01	1565719	class
DRYD01	1895244.3333333333	class
DSM-4660	4068814.7317073173	class
DSWW01	4707455.5	class
DTGP01	3378451	class
DTLF01	2368723	class
DTOL01	3903439	class
DTPJ01	5071785	class
DTU015	2104783.275862069	class
DTU030	1890836.3846153845	class
DTU065	2337888.777777778	class
DTU084	2240089	class
DTXE01	2091276	class
DUMD01	2001112	class
DUMJ01	2046577.2	class
E2	1825882.4375	class
E44-bin39	5684516	class
E44-bin80	2197122.6666666665	class
Elusimicrobia	2328841.2536585364	class
Endomicrobia	1864029.18	class
Entotheonellia	6938891.5	class
Eremiobacteria	3077082.2967032967	class
EX4484-205	1682500.705882353	class
EX4484-52	1196562.142857143	class
EX4484-6	2154621.2	class
FAC87	2729987.875	class
